RATING_YELP,AVGSCORE,CUISINE
2.0,14.4285714286,Fast Food
3.5,17.8484848485,Fast Food
4.5,17.4411764706,Italian
4.0,13.6875,American
4.0,14.1875,Mediterranean
2.5,19.935483871,Chinese
2.5,12.3333333333,Italian
3.5,18.0227272727,Italian
3.5,15.44,Asian
4.5,11.3333333333,American
3.5,20.2608695652,American
2.0,10.6363636364,Italian
3.5,23.7906976744,Italian
4.0,13.9333333333,American
3.5,9.8,Fast Food
3.5,10.1428571429,American
4.0,21.1818181818,American
3.5,14.96,Mediterranean
3.0,22.6071428571,Italian
3.5,17.4285714286,Italian
4.0,24.1,American
2.5,11.6923076923,American
4.5,15.8333333333,Seafood
4.0,10.5384615385,Italian
4.0,17.1904761905,American
4.0,9.66666666667,American
4.0,19.0,Mediterranean
4.0,16.5652173913,Other
4.0,29.9122807018,Asian
3.5,36.55,Seafood
4.0,16.2142857143,European
4.5,16.3,Italian
3.5,13.4444444444,Italian
4.0,17.6666666667,Fast Food
4.5,14.0,American
4.0,17.3103448276,Italian
3.5,16.6,Other
3.0,19.2142857143,American
2.0,10.0,Mediterranean
4.0,15.5294117647,American
3.5,9.3,Other
3.5,41.703125,American
3.0,14.3448275862,Asian
3.0,20.1379310345,Latin
3.5,11.3076923077,Italian
3.5,26.1315789474,Fast Food
3.5,11.8,American
3.5,10.9230769231,Italian
3.5,18.1034482759,American
2.5,9.85714285714,American
3.5,26.7727272727,Asian
3.5,29.3333333333,American
2.0,22.7083333333,Other
4.5,22.8947368421,American
3.0,9.0,American
3.0,23.0625,European
2.5,16.8125,Seafood
3.5,10.2222222222,Other
3.5,23.12,American
4.5,13.1666666667,Italian
4.5,12.5714285714,Asian
3.5,31.5,American
3.5,19.7142857143,Fast Food
4.0,15.9285714286,American
2.0,16.46875,American
3.5,17.1176470588,American
3.5,16.7692307692,American
4.0,16.0769230769,Fast Food
4.0,16.0476190476,American
3.5,9.42857142857,American
3.5,20.8181818182,Mediterranean
3.5,17.6818181818,American
4.0,13.8,American
2.5,18.8,Italian
4.0,23.1666666667,Seafood
3.5,15.75,Latin
4.0,38.4444444444,Asian
3.5,17.1052631579,American
3.5,22.4571428571,Italian
3.5,27.4571428571,Other
3.0,13.72,American
2.5,14.6923076923,American
3.5,13.9285714286,American
3.5,9.7,American
4.5,18.4857142857,Latin
3.5,4.8,Fast Food
3.0,10.2,Fast Food
4.5,20.6666666667,European
3.5,9.83333333333,Latin
3.5,23.2647058824,Chinese
4.0,13.6666666667,American
3.5,31.7872340426,Italian
3.5,11.75,American
4.0,17.45,Fast Food
4.5,20.7714285714,Asian
4.0,8.75,Latin
3.5,14.2380952381,Italian
4.0,11.5652173913,Italian
2.5,15.125,Fast Food
3.5,18.9696969697,Mediterranean
3.5,16.1818181818,Italian
4.0,10.0,Bakery
2.5,18.2916666667,American
3.0,18.8275862069,American
2.5,26.7674418605,Asian
3.5,18.7,Fast Food
4.5,16.5416666667,Fast Food
3.0,14.8,Fast Food
3.5,17.3,American
3.5,14.7142857143,Italian
3.5,12.3913043478,Italian
2.5,10.8,Cafe
3.0,10.75,Mediterranean
3.5,12.35,Fast Food
4.0,9.83333333333,American
4.0,28.935483871,Mediterranean
3.0,21.4871794872,Asian
4.5,14.7333333333,Other
4.0,22.7333333333,Bakery
4.0,25.0,Italian
3.0,14.24,American
3.5,12.5714285714,Italian
2.5,19.037037037,American
4.0,29.5172413793,American
3.0,10.8333333333,American
4.0,12.1111111111,Seafood
3.0,23.025,Asian
5.0,22.5555555556,American
3.0,15.52,Italian
4.0,14.0454545455,Fast Food
3.5,9.3,Italian
3.0,21.4186046512,Italian
4.0,16.95,Asian
4.5,15.8571428571,Other
3.5,11.0,American
2.5,10.4545454545,Fast Food
4.0,14.7647058824,American
4.0,18.7714285714,American
4.5,11.2727272727,American
1.5,12.3333333333,Asian
3.0,18.6052631579,American
3.0,15.1428571429,American
3.5,12.0,American
2.0,16.7058823529,Fast Food
4.5,19.4444444444,American
4.0,13.7647058824,Italian
4.0,16.1666666667,American
1.5,6.83333333333,Fast Food
2.0,25.7586206897,Latin
3.0,8.0,American
4.5,12.875,Latin
4.0,15.0833333333,Other
3.0,15.1851851852,Italian
4.0,12.0,Fast Food
2.5,23.9677419355,Italian
4.0,26.9555555556,American
3.5,22.5405405405,American
4.5,20.84,Italian
4.0,27.2580645161,Cafe
3.5,16.0882352941,Other
3.5,20.3,Other
3.5,14.0,American
4.0,14.92,American
4.0,20.6111111111,American
2.5,33.3015873016,American
3.0,18.9130434783,American
4.5,20.6451612903,Latin
2.5,15.619047619,American
4.0,14.8421052632,Fast Food
4.0,20.6666666667,African
3.5,19.0,Italian
3.0,10.25,American
4.0,19.3157894737,American
4.0,7.8,Fast Food
3.5,15.0,Other
3.5,3.5,Fast Food
3.5,16.56,Latin
3.5,25.4545454545,Chinese
3.5,31.6111111111,Fast Food
4.0,12.8333333333,Other
3.0,31.8157894737,Italian
4.0,18.0714285714,American
3.5,10.4285714286,Latin
4.5,15.0833333333,Fast Food
4.0,8.66666666667,American
3.0,24.5142857143,Italian
4.0,7.75,American
2.0,13.6363636364,European
4.0,25.914893617,Asian
2.5,11.8235294118,American
4.0,14.0434782609,American
3.5,18.8,Italian
4.0,23.0833333333,Latin
4.5,7.42857142857,American
4.0,21.0769230769,Asian
4.0,15.0869565217,Other
4.0,8.4,Fast Food
4.0,14.1875,Italian
2.5,14.5333333333,Fast Food
3.5,7.85714285714,Fast Food
4.5,8.875,American
3.5,8.85714285714,American
4.0,20.48,Italian
4.0,17.4,Fast Food
4.0,28.6315789474,Fast Food
4.0,16.2666666667,Italian
3.5,14.3529411765,American
3.0,25.6086956522,Cafe
3.0,7.8,Italian
4.0,26.3095238095,Other
4.0,29.4242424242,Italian
4.0,14.5714285714,Latin
4.0,19.0526315789,Latin
4.0,16.0555555556,Asian
4.0,12.2,American
3.0,17.4838709677,American
4.0,11.25,Italian
4.0,13.8,American
2.5,16.5,Asian
4.0,16.9090909091,Other
4.0,19.5,Chinese
4.0,15.3846153846,American
3.0,18.1904761905,Asian
4.0,10.0,Fast Food
3.5,17.3333333333,American
3.5,12.7272727273,Italian
4.5,34.9444444444,American
3.0,18.9166666667,Bakery
3.5,21.9189189189,Other
3.5,27.5333333333,American
4.5,10.0769230769,Bakery
3.5,20.7096774194,European
4.0,14.875,Italian
4.5,27.5384615385,Bakery
4.0,10.9285714286,American
3.5,21.2857142857,American
2.5,13.1875,American
2.5,13.9333333333,Chinese
3.5,16.3913043478,Italian
3.5,14.4814814815,Chinese
4.0,11.0625,European
2.5,27.725,Latin
4.0,15.1578947368,Fast Food
3.0,26.65,Other
3.0,8.85714285714,Fast Food
3.5,22.6451612903,American
4.5,8.17647058824,Other
4.5,20.05,Italian
3.5,15.7368421053,Asian
3.0,15.85,Other
4.0,13.2105263158,Mediterranean
2.0,10.8181818182,American
3.5,18.652173913,Other
4.0,22.724137931,American
3.5,10.1111111111,Other
4.0,19.1153846154,European
4.0,16.9310344828,Italian
4.0,8.25,American
2.5,42.9714285714,Asian
4.0,29.9090909091,Asian
4.0,12.52,American
3.5,25.2666666667,Latin
4.0,15.2173913043,European
4.5,11.7272727273,Other
4.0,32.1025641026,American
3.5,9.85714285714,American
3.0,19.75,American
3.5,16.8421052632,Latin
4.0,13.6842105263,American
3.5,20.875,Chinese
4.0,22.0833333333,Mediterranean
3.5,18.0,American
4.0,9.55555555556,American
4.0,46.2424242424,Italian
4.5,11.3,American
3.5,26.0666666667,American
3.5,21.1304347826,American
3.0,13.1428571429,Italian
3.0,12.35,American
3.5,11.2307692308,American
3.5,12.3076923077,American
3.0,16.7857142857,Asian
4.0,22.5294117647,Other
3.0,12.9411764706,American
4.5,20.4137931034,European
4.0,5.5,American
4.5,13.4375,Italian
3.5,12.5333333333,American
4.5,16.2941176471,Italian
4.0,19.1875,American
3.0,14.8947368421,Asian
3.0,12.8666666667,American
3.0,21.7083333333,American
